geoid,name,PctBachHigher,MedHHIncome,PctTravel60MinMore
05000US05103,"Ouachita County, AR",15.2,32032,5.9
05000US05105,"Perry County, AR",9.7,42738,20.9
05000US05107,"Phillips County, AR",13.2,27219,7.3
05000US05109,"Pike County, AR",12.4,32087,9.7
05000US05111,"Poinsett County, AR",8.9,31743,6.6
05000US05113,"Polk County, AR",11.7,33479,6.8
05000US05115,"Pope County, AR",20.0,40948,4.4
05000US05117,"Prairie County, AR",10.1,35806,8
05000US05119,"Pulaski County, AR",31.6,46102,2.5
05000US05121,"Randolph County, AR",11.0,32539,10.8
05000US05123,"St. Francis County, AR",11.2,30104,8.1
05000US05125,"Saline County, AR",23.1,53817,4.1
05000US05127,"Scott County, AR",10.3,38130,11.1
05000US05129,"Searcy County, AR",11.0,30301,10.6
05000US05131,"Sebastian County, AR",18.7,40247,2.1
05000US05133,"Sevier County, AR",8.6,32081,5.6
05000US05135,"Sharp County, AR",11.2,30240,12
05000US05137,"Stone County, AR",13.0,32834,8
05000US05139,"Union County, AR",16.1,39349,2.5
05000US05141,"Van Buren County, AR",13.6,33900,19.1
05000US05143,"Washington County, AR",28.0,41429,3.1
05000US05145,"White County, AR",17.9,41410,8.3
05000US05147,"Woodruff County, AR",10.7,28061,3.6
05000US05149,"Yell County, AR",9.7,38245,5.1
05000US06001,"Alameda County, CA",41.1,71516,10.4
05000US06003,"Alpine County, CA",31.7,59931,1.4
05000US06005,"Amador County, CA",18.8,53462,15.3
05000US06007,"Butte County, CA",24.0,43339,5.7
05000US06009,"Calaveras County, CA",20.8,54686,19.3
05000US06011,"Colusa County, CA",13.5,52165,7.5
05000US06013,"Contra Costa County, CA",38.6,78187,17.5
05000US06015,"Del Norte County, CA",13.8,39626,2
05000US06017,"El Dorado County, CA",31.3,70117,11
05000US06019,"Fresno County, CA",19.4,45741,5.3
05000US06021,"Glenn County, CA",15.4,42641,4.8
05000US06023,"Humboldt County, CA",26.4,40830,3.5
05000US06025,"Imperial County, CA",13.2,41255,6.3
05000US06027,"Inyo County, CA",21.0,45000,2.2
05000US06029,"Kern County, CA",14.9,47727,7.6
05000US06031,"Kings County, CA",12.4,48761,4.4
05000US06033,"Lake County, CA",16.8,38147,14.8
05000US06035,"Lassen County, CA",13.5,51921,3.6
05000US06037,"Los Angeles County, CA",29.5,56241,11.6
05000US06039,"Madera County, CA",13.9,47937,8.6
05000US06041,"Marin County, CA",54.6,90962,11.2
05000US06043,"Mariposa County, CA",19.9,52584,19.9
05000US06045,"Mendocino County, CA",21.4,43721,5.8
05000US06047,"Merced County, CA",12.5,43565,11.8
05000US06049,"Modoc County, CA",19.4,37482,6.3
05000US06051,"Mono County, CA",29.1,61868,3.6
05000US06053,"Monterey County, CA",23.2,60143,4.9
05000US06055,"Napa County, CA",31.2,69571,8.9
05000US06057,"Nevada County, CA",32.7,57382,8.3
05000US06059,"Orange County, CA",36.6,75566,8
05000US06061,"Placer County, CA",34.7,73356,7.9
05000US06063,"Plumas County, CA",22.9,45358,8.6
05000US06065,"Riverside County, CA",20.5,57096,17.1
05000US06067,"Sacramento County, CA",27.9,55846,6.5
05000US06069,"San Benito County, CA",18.4,63939,14.3
05000US06071,"San Bernardino County, CA",18.6,54750,14.5
05000US06073,"San Diego County, CA",34.4,63373,5.6
05000US06075,"San Francisco County, CA",52.0,73802,10.7
